Image: cropped_1.jpeg, Car Plate: 934457, Detected: 934457, Label: TP
Image: cropped_2.jpeg, Car Plate: 802694, Detected: 802694, Label: TP
Image: cropped_3.jpeg, Car Plate: 485120, Detected: NaN, Label: FN
Image: cropped_4.jpeg, Car Plate: 469534, Detected: 469534, Label: TP
Image: cropped_5.jpeg, Car Plate: 468442, Detected: 468442, Label: TP
Image: cropped_6.jpeg, Car Plate: 454950, Detected: 454950, Label: TP
Image: cropped_7.jpeg, Car Plate: 922733, Detected: 922733, Label: TP
Image: cropped_8.jpeg, Car Plate: 127928, Detected: 127928, Label: TP
Image: cropped_9.jpeg, Car Plate: 597141, Detected: 597141, Label: TP
Image: cropped_10.jpeg, Car Plate: 19884, Detected: 19884, Label: TP
Image: cropped_11.jpeg, Car Plate: 790493, Detected: 790493, Label: TP
Image: cropped_12.jpeg, Car Plate: 14475, Detected: 14475, Label: TP
Image: cropped_13.jpeg, Car Plate: 498494, Detected: 498494, Label: TP
Image: cropped_14.jpeg, Car Plate: 294510, Detected: 294510, Label: TP
Image: cropped_15.jpeg, Car Plate: 75339, Detected: 75339, Label: TP
Image: cropped_16.jpeg, Car Plate: 546901, Detected: 546901, Label: TP
Image: cropped_17.jpeg, Car Plate: 279995, Detected: 279995, Label: TP
Image: cropped_18.jpeg, Car Plate: 626821, Detected: 626821, Label: TP
Image: cropped_19.jpeg, Car Plate: 843957, Detected: 843957, Label: TP
Image: cropped_20.jpeg, Car Plate: 419292, Detected: 6401, Label: FP
Image: cropped_21.jpeg, Car Plate: 534009, Detected: 534009, Label: TP
Image: cropped_22.jpeg, Car Plate: 534009, Detected: 534009, Label: TP
Image: cropped_23.jpeg, Car Plate: 574358, Detected: 574358, Label: TP
Image: cropped_24.jpeg, Car Plate: 37374, Detected: 37374, Label: TP
Image: cropped_25.jpeg, Car Plate: 341688, Detected: NaN, Label: FN
Image: cropped_26.jpeg, Car Plate: 754337, Detected: 754337, Label: TP
Image: cropped_27.jpeg, Car Plate: 644531, Detected: 644531, Label: TP
Image: cropped_28.jpeg, Car Plate: 667934, Detected: 667934, Label: TP
Image: cropped_29.jpeg, Car Plate: 823998, Detected: 823998, Label: TP
Image: cropped_30.jpeg, Car Plate: 108902, Detected: 108902, Label: TP
Image: cropped_31.jpeg, Car Plate: 532670, Detected: 532670, Label: TP
Image: cropped_32.jpeg, Car Plate: 751616, Detected: 751616, Label: TP
Image: cropped_33.jpeg, Car Plate: 585388, Detected: 585388, Label: TP
Image: cropped_34.jpeg, Car Plate: 224585, Detected: 224585, Label: TP
Image: cropped_35.jpeg, Car Plate: 809986, Detected: NaN, Label: FN
Image: cropped_36.jpeg, Car Plate: 674202, Detected: 671202, Label: FP
Image: cropped_37.jpeg, Car Plate: 362231, Detected: 362231, Label: TP
Image: cropped_38.jpeg, Car Plate: 50885, Detected: 50885, Label: TP
Image: cropped_39.jpeg, Car Plate: 401048, Detected: 401048, Label: TP
Image: cropped_40.jpeg, Car Plate: 67400, Detected: 67400, Label: TP
Image: cropped_41.jpeg, Car Plate: 498839, Detected: NaN, Label: FN
Image: cropped_42.jpeg, Car Plate: 644710, Detected: 644710, Label: TP
Image: cropped_43.jpeg, Car Plate: 4323, Detected: 4323, Label: TP
